Date,chtropen,chtrclose,chtrlow,chtrhigh,chtrvolume
2010-04-14,35.25,35.25,35.25,35.75,35000
2010-04-15,35.45000076293945,36.0,35.29999923706055,36.0,11700
2010-04-16,36.099998474121094,36.099998474121094,36.099998474121094,36.099998474121094,900
2010-04-19,36.0,36.0099983215332,36.0,36.04999923706055,36600
2010-04-20,36.0099983215332,36.0099983215332,36.0099983215332,36.0099983215332,0
2010-04-21,35.5099983215332,35.5099983215332,35.5099983215332,35.5099983215332,100
2010-04-22,36.0,36.0,35.95000076293945,36.0,16400
2010-04-23,36.25,36.25,36.25,36.25,2700
2010-04-26,36.27000045776367,36.5,36.27000045776367,36.5,3700
2010-04-27,36.5,36.5,36.5,36.5,1700
2010-04-28,36.5,36.5,36.33000183105469,36.5,16800
2010-04-29,36.5,37.25,36.5,37.25,50400
2010-04-30,37.5,37.900001525878906,37.25,38.0,130400
2010-05-03,38.5,39.5,38.5,39.5,26600
2010-05-04,39.5,39.75,39.0,39.9900016784668,9700
2010-05-05,39.5,39.5,39.0,39.75,83100
2010-05-06,39.0,38.349998474121094,37.0,39.0,43500
2010-05-07,37.79999923706055,37.849998474121094,37.5,38.0,4000
2010-05-10,37.5,37.75,37.5,38.25,41000
2010-05-11,37.75,38.0,37.75,38.0,2200
2010-05-12,38.0,38.0,38.0,38.0,3200
2010-05-13,38.0,38.0,38.0,38.0,0
2010-05-14,37.650001525878906,37.599998474121094,37.5,37.650001525878906,900
2010-05-17,37.599998474121094,38.0,37.599998474121094,38.0,4400
2010-05-18,37.0,37.25,37.0,37.25,6000
2010-05-19,37.0,38.20000076293945,37.0,38.20000076293945,5800
2010-05-20,38.0,37.0,37.0,38.0,126600
2010-05-21,36.79999923706055,36.75,36.5,36.79999923706055,1900
2010-05-24,36.5,36.29999923706055,36.25,36.5,72100
2010-05-25,36.0,36.0,35.25,36.5,5300
2010-05-26,36.0,36.0,36.0,36.0,5000
2010-05-27,36.130001068115234,36.0,36.0,36.150001525878906,145500
2010-05-28,36.0,36.0,36.0,36.0,400
2010-06-01,36.0,35.880001068115234,35.880001068115234,36.0,43800
2010-06-02,35.25,35.0,35.0,35.29999923706055,8300
2010-06-03,35.0,35.0,35.0,35.0,2200
2010-06-04,35.0,35.0,34.75,35.0,2700
2010-06-07,34.75,33.75,33.75,35.0,211300
2010-06-08,34.0,34.5,33.79999923706055,34.5,159700
2010-06-09,34.0,34.52000045776367,34.0,34.75,405800
2010-06-10,34.52000045776367,34.52000045776367,34.52000045776367,34.52000045776367,0
2010-06-11,34.25,34.5,34.25,34.54999923706055,20200
2010-06-14,34.75,34.099998474121094,34.099998474121094,34.75,15200
2010-06-15,34.099998474121094,34.5,34.0,34.54999923706055,23200
2010-06-16,34.5,34.70000076293945,34.5,34.70000076293945,1100
2010-06-17,34.25,34.75,34.25,34.95000076293945,24300
2010-06-18,34.75,35.25,34.75,35.25,128800
2010-06-21,35.25,35.25,35.25,35.25,400
2010-06-22,35.29999923706055,35.5,35.29999923706055,35.5,1900
2010-06-23,35.650001525878906,35.650001525878906,35.650001525878906,35.650001525878906,1300
2010-06-24,35.599998474121094,35.599998474121094,35.599998474121094,35.599998474121094,200
2010-06-25,35.599998474121094,35.599998474121094,35.599998474121094,35.599998474121094,0
2010-06-28,35.25,35.349998474121094,35.0,35.349998474121094,12300
2010-06-29,35.29999923706055,35.5,35.150001525878906,35.5,2700
2010-06-30,35.349998474121094,35.29999923706055,35.25,35.349998474121094,1000
2010-07-01,35.5,35.5,35.5,35.5,45200
2010-07-02,35.45000076293945,35.5,35.45000076293945,35.5,10400
2010-07-06,35.650001525878906,36.5,35.650001525878906,36.5,2500
2010-07-07,36.5,36.5,36.0,37.0,117400
2010-07-08,36.5,36.0,36.0,36.5,2300
2010-07-09,36.25,36.20000076293945,36.20000076293945,36.25,10400
2010-07-12,36.25,36.25,36.25,36.25,5000
2010-07-13,36.04999923706055,36.04999923706055,35.95000076293945,36.25,101400
2010-07-14,36.25,35.54999923706055,35.54999923706055,36.5,15500
2010-07-15,35.599998474121094,35.45000076293945,35.29999923706055,35.599998474121094,87100
2010-07-16,35.29999923706055,35.400001525878906,34.5,35.400001525878906,7700
2010-07-19,35.400001525878906,35.0,35.0,35.849998474121094,20200
2010-07-20,35.75,35.5,35.5,35.75,5800
2010-07-21,35.75,35.25,35.25,35.75,8600
2010-07-22,35.25,35.04999923706055,35.04999923706055,35.45000076293945,26000
2010-07-23,35.70000076293945,35.0,35.0,35.70000076293945,16000
2010-07-26,35.29999923706055,35.0,35.0,35.5,16700
2010-07-27,35.25,35.5,35.25,35.5,21100
2010-07-28,35.75,35.5,35.5,35.75,300
2010-07-29,35.5,36.25,35.5,36.75,824200
2010-07-30,36.5,36.5,36.5,36.5,105600
2010-08-02,36.400001525878906,36.5,36.400001525878906,36.540000915527344,380200
2010-08-03,36.25,36.25,36.25,36.25,13200
2010-08-04,36.25,36.5,36.25,36.5,30100
2010-08-05,36.25,36.25,36.25,36.25,35500
2010-08-06,36.099998474121094,36.25,36.099998474121094,36.25,25300
2010-08-09,36.150001525878906,36.150001525878906,36.099998474121094,36.18000030517578,200200
2010-08-10,36.25,36.20000076293945,36.20000076293945,36.25,138300
2010-08-11,36.150001525878906,36.20000076293945,36.099998474121094,36.2599983215332,50200
2010-08-12,36.20000076293945,36.20000076293945,36.20000076293945,36.20000076293945,0
2010-08-13,36.20000076293945,36.150001525878906,36.0,36.20000076293945,1700
2010-08-16,35.75,35.54999923706055,35.54999923706055,35.75,5400
2010-08-17,35.0,35.04999923706055,35.0,35.54999923706055,166600
2010-08-18,35.04999923706055,35.04999923706055,35.04999923706055,35.04999923706055,0
2010-08-19,35.5,35.099998474121094,35.099998474121094,35.5,4500
2010-08-20,35.5,35.0,35.0,35.5,50300
2010-08-23,35.04999923706055,35.0,35.0,35.04999923706055,1200
2010-08-24,34.75,34.75,34.75,34.75,200
2010-08-25,34.5,34.5,34.5,34.5,300
2010-08-26,34.5,34.25,34.25,34.5,50400
2010-08-27,34.0,33.75,33.75,34.0,2300
2010-08-30,33.75,33.75,33.75,33.75,0
2010-08-31,33.75,33.75,33.75,33.75,0
2010-09-01,34.0,34.0,34.0,34.5,78100
2010-09-02,33.79999923706055,33.79999923706055,33.79999923706055,33.79999923706055,200
2010-09-03,34.0,34.0,34.0,34.0,200
2010-09-07,34.0,34.0,34.0,34.0,0
2010-09-08,34.0,34.0,34.0,34.0,0
2010-09-09,34.0,34.20000076293945,34.0,34.20000076293945,13200
2010-09-10,34.20000076293945,34.0,34.0,34.20000076293945,15400
2010-09-13,34.25,35.0,34.25,35.099998474121094,153700
2010-09-14,38.0,35.5,34.5,38.0,94400
2010-09-15,34.060001373291016,34.75,34.060001373291016,34.75,73000
2010-09-16,34.099998474121094,34.11000061035156,33.459999084472656,34.599998474121094,35300
2010-09-17,34.75,34.5,34.29999923706055,34.75,9400
2010-09-20,34.5,34.5,34.150001525878906,34.5,80200
2010-09-21,33.63999938964844,33.84000015258789,33.0,34.5,20500
2010-09-22,34.0,33.5,33.0,34.0,5800
2010-09-23,33.029998779296875,33.29999923706055,33.029998779296875,33.5,7100
2010-09-24,33.56999969482422,33.79999923706055,33.0,34.0,6900
2010-09-27,33.4900016784668,33.04999923706055,33.04999923706055,33.5,20100
2010-09-28,33.439998626708984,33.4900016784668,33.439998626708984,33.4900016784668,200
2010-09-29,33.4900016784668,33.34000015258789,33.0,33.5,182900
2010-09-30,33.0099983215332,32.5,32.0099983215332,33.029998779296875,83300
2010-10-01,33.5,33.099998474121094,32.400001525878906,33.5,47200
2010-10-04,33.75,32.97999954223633,32.0,33.75,28200
2010-10-05,32.970001220703125,32.900001525878906,32.209999084472656,33.0,22500
2010-10-06,32.40999984741211,32.41999816894531,32.40999984741211,32.900001525878906,13900
2010-10-07,32.5,32.16999816894531,32.099998474121094,32.5,37300
2010-10-08,32.5,32.0,32.0,32.5,16200
2010-10-11,32.5,32.849998474121094,32.5,33.0,63600
2010-10-12,32.81999969482422,32.900001525878906,32.81999969482422,33.2400016784668,143700
2010-10-13,33.0,32.5,32.0099983215332,33.02000045776367,113000
2010-10-14,32.5,33.0,32.380001068115234,33.20000076293945,438700
2010-10-15,33.29999923706055,33.290000915527344,32.709999084472656,33.4900016784668,1233000
2010-10-18,33.16999816894531,32.900001525878906,32.310001373291016,33.16999816894531,172500
2010-10-19,32.75,33.09000015258789,32.599998474121094,33.38999938964844,51200
2010-10-20,33.18000030517578,32.97999954223633,32.869998931884766,33.25,156800
2010-10-21,33.0,32.93000030517578,32.349998474121094,33.09000015258789,262000
2010-10-22,33.0,33.119998931884766,32.93000030517578,33.119998931884766,271100
2010-10-25,33.02000045776367,32.5,32.310001373291016,33.209999084472656,28200
2010-10-26,32.91999816894531,32.65999984741211,32.61000061035156,33.29999923706055,7700
2010-10-27,32.5099983215332,32.459999084472656,32.25,32.95000076293945,12200
2010-10-28,32.470001220703125,32.470001220703125,32.15999984741211,32.880001068115234,4100
2010-10-29,32.61000061035156,32.47999954223633,31.360000610351562,32.61000061035156,22900
2010-11-01,33.349998474121094,32.54999923706055,32.029998779296875,33.369998931884766,53000
2010-11-02,32.61000061035156,32.5099983215332,32.20000076293945,32.7400016784668,57400
2010-11-03,31.760000228881836,33.349998474121094,31.75,33.9900016784668,190500
2010-11-04,34.0,35.75,33.619998931884766,36.25,496100
2010-11-05,35.900001525878906,35.720001220703125,34.59000015258789,36.349998474121094,63800
2010-11-08,35.7599983215332,35.790000915527344,35.40999984741211,36.0,48500
2010-11-09,35.880001068115234,35.79999923706055,35.75,36.27000045776367,112000
2010-11-10,35.95000076293945,35.900001525878906,35.400001525878906,36.09000015258789,232100
2010-11-11,36.349998474121094,36.0,35.900001525878906,37.16999816894531,123900
2010-11-12,35.95000076293945,35.83000183105469,35.08000183105469,35.9900016784668,38800
2010-11-15,35.959999084472656,35.869998931884766,35.779998779296875,36.0,22600
2010-11-16,35.869998931884766,35.869998931884766,34.7400016784668,36.0,17500
2010-11-17,36.0,35.790000915527344,35.40999984741211,36.560001373291016,161300
2010-11-18,36.09000015258789,35.810001373291016,35.65999984741211,36.09000015258789,48500
2010-11-19,36.0,35.689998626708984,34.95000076293945,36.0,54200
2010-11-22,35.41999816894531,35.310001373291016,35.0,35.5099983215332,25000
2010-11-23,35.06999969482422,35.04999923706055,34.68000030517578,35.130001068115234,93300
2010-11-24,34.529998779296875,34.9900016784668,34.529998779296875,35.2400016784668,14100
2010-11-26,34.810001373291016,34.900001525878906,34.540000915527344,35.06999969482422,11500
2010-11-29,34.529998779296875,34.09000015258789,34.09000015258789,34.84000015258789,81800
2010-11-30,34.0,33.52000045776367,33.099998474121094,34.2599983215332,82300
2010-12-01,33.959999084472656,34.380001068115234,33.7400016784668,34.84000015258789,121700
2010-12-02,32.91999816894531,34.5,32.83000183105469,34.599998474121094,290000
2010-12-03,33.91999816894531,35.06999969482422,33.91999816894531,35.13999938964844,46800
2010-12-06,34.79999923706055,35.439998626708984,34.79999923706055,35.5099983215332,182900
2010-12-07,35.43000030517578,35.7400016784668,35.380001068115234,36.47999954223633,848100
2010-12-08,35.70000076293945,35.91999816894531,35.349998474121094,36.0,56500
2010-12-09,35.959999084472656,35.70000076293945,35.41999816894531,36.0,75800
2010-12-10,36.310001373291016,36.0,35.61000061035156,36.380001068115234,619100
2010-12-13,36.560001373291016,36.810001373291016,36.16999816894531,37.400001525878906,418800
2010-12-14,36.779998779296875,37.0099983215332,36.599998474121094,37.150001525878906,307000
2010-12-15,36.81999969482422,38.0,36.81999969482422,38.939998626708984,268900
2010-12-16,37.939998626708984,37.72999954223633,37.400001525878906,37.939998626708984,144100
2010-12-17,37.72999954223633,38.66999816894531,37.41999816894531,38.7400016784668,357400
2010-12-20,38.83000183105469,38.040000915527344,38.0099983215332,39.0,40000
2010-12-21,38.040000915527344,38.220001220703125,38.0,38.47999954223633,139300
2010-12-22,38.22999954223633,38.5,38.0,38.52000045776367,1046700
2010-12-23,38.5,38.11000061035156,38.08000183105469,38.5,4000
2010-12-27,37.86000061035156,38.16999816894531,37.86000061035156,38.20000076293945,5700
2010-12-28,38.40999984741211,38.310001373291016,38.130001068115234,38.5,11600
2010-12-29,38.22999954223633,38.5,37.970001220703125,38.7599983215332,8900
2010-12-30,38.209999084472656,38.5099983215332,38.0,38.599998474121094,10100
2010-12-31,38.119998931884766,38.939998626708984,38.11000061035156,39.0,9800
2011-01-03,39.08000183105469,38.459999084472656,38.20000076293945,39.20000076293945,57100
2011-01-04,38.4900016784668,39.599998474121094,38.349998474121094,39.83000183105469,336100
2011-01-05,38.540000915527344,39.56999969482422,38.540000915527344,39.70000076293945,403000
2011-01-06,39.59000015258789,39.220001220703125,39.099998474121094,39.810001373291016,53400
2011-01-07,39.2599983215332,39.18000030517578,38.38999938964844,39.2599983215332,101300
2011-01-10,38.91999816894531,39.150001525878906,38.84000015258789,39.27000045776367,134900
2011-01-11,39.29999923706055,39.040000915527344,38.88999938964844,39.29999923706055,86800
2011-01-12,39.099998474121094,39.869998931884766,38.7599983215332,40.86000061035156,472100
2011-01-13,40.0,40.02000045776367,39.7400016784668,40.2400016784668,122800
2011-01-14,40.04999923706055,40.93000030517578,40.04999923706055,41.2599983215332,243900
2011-01-18,40.90999984741211,40.9900016784668,40.59000015258789,41.040000915527344,36100
2011-01-19,41.119998931884766,41.5,41.0,41.86000061035156,345100
2011-01-20,41.5,41.099998474121094,41.06999969482422,41.68000030517578,217200
2011-01-21,41.209999084472656,41.130001068115234,41.08000183105469,41.400001525878906,154300
2011-01-24,41.20000076293945,41.290000915527344,41.04999923706055,41.540000915527344,92600
2011-01-25,41.2400016784668,41.65999984741211,41.08000183105469,42.02000045776367,100900
2011-01-26,41.27000045776367,42.2599983215332,40.7599983215332,42.58000183105469,1024600
2011-01-27,42.310001373291016,42.119998931884766,42.119998931884766,42.5,19700
2011-01-28,42.22999954223633,42.040000915527344,41.220001220703125,42.22999954223633,38100
2011-01-31,42.2400016784668,42.0,40.5,42.529998779296875,81400
2011-02-01,41.93000030517578,41.63999938964844,41.619998931884766,42.0,101100
2011-02-02,41.83000183105469,41.619998931884766,41.59000015258789,42.0,52900
2011-02-03,41.59000015258789,42.0,41.59000015258789,42.09000015258789,665000
2011-02-04,42.11000061035156,41.9900016784668,41.86000061035156,42.11000061035156,151500
2011-02-07,42.0,41.9900016784668,41.880001068115234,42.02000045776367,99800
2011-02-08,42.2400016784668,43.880001068115234,41.95000076293945,44.20000076293945,744300
2011-02-09,43.959999084472656,45.310001373291016,43.70000076293945,45.5,687900
2011-02-10,45.40999984741211,46.099998474121094,45.15999984741211,46.2599983215332,284200
2011-02-11,46.060001373291016,47.0,46.060001373291016,47.459999084472656,837900
2011-02-14,46.91999816894531,47.349998474121094,46.779998779296875,47.4900016784668,638200
2011-02-15,47.04999923706055,47.099998474121094,46.97999954223633,47.369998931884766,160700
2011-02-16,47.029998779296875,46.31999969482422,45.95000076293945,47.20000076293945,266200
2011-02-17,46.060001373291016,46.56999969482422,46.04999923706055,46.810001373291016,62800
2011-02-18,46.630001068115234,46.439998626708984,46.099998474121094,46.75,40700
2011-02-22,46.2599983215332,45.689998626708984,45.630001068115234,46.720001220703125,61100
2011-02-23,45.939998626708984,44.970001220703125,44.77000045776367,46.84000015258789,86200
2011-02-24,45.13999938964844,45.0,44.7599983215332,45.2400016784668,30800
2011-02-25,45.11000061035156,45.5,44.65999984741211,45.599998474121094,597600
2011-02-28,45.970001220703125,45.77000045776367,45.75,46.59000015258789,185400
2011-03-01,45.54999923706055,46.93000030517578,45.54999923706055,48.349998474121094,249600
2011-03-02,47.61000061035156,48.81999969482422,46.459999084472656,49.689998626708984,333300
2011-03-03,48.40999984741211,47.849998474121094,47.56999969482422,49.209999084472656,203800
2011-03-04,47.34000015258789,47.9900016784668,47.33000183105469,48.20000076293945,134900
2011-03-07,47.5099983215332,48.220001220703125,47.22999954223633,48.75,170600
2011-03-08,48.5,48.150001525878906,47.97999954223633,48.66999816894531,68700
2011-03-09,48.150001525878906,48.0,47.869998931884766,48.45000076293945,145200
2011-03-10,47.58000183105469,47.47999954223633,47.13999938964844,47.83000183105469,207500
2011-03-11,46.25,47.810001373291016,46.2400016784668,48.0,58000
2011-03-14,47.709999084472656,46.52000045776367,46.47999954223633,47.709999084472656,95500
2011-03-15,45.779998779296875,45.54999923706055,45.22999954223633,46.13999938964844,76900
2011-03-16,45.31999969482422,45.97999954223633,45.31999969482422,46.65999984741211,285400
2011-03-17,46.029998779296875,47.04999923706055,46.029998779296875,47.150001525878906,64300
2011-03-18,47.060001373291016,48.369998931884766,47.060001373291016,48.59000015258789,414900
2011-03-21,48.40999984741211,48.880001068115234,48.119998931884766,49.130001068115234,81000
2011-03-22,49.61000061035156,48.66999816894531,48.560001373291016,49.91999816894531,158300
2011-03-23,48.91999816894531,48.83000183105469,48.459999084472656,49.34000015258789,68100
2011-03-24,49.9900016784668,49.880001068115234,48.720001220703125,50.310001373291016,411600
2011-03-25,49.7400016784668,49.810001373291016,49.439998626708984,50.400001525878906,572500
2011-03-28,49.0099983215332,49.209999084472656,49.0099983215332,50.02000045776367,247700
2011-03-29,49.4900016784668,49.16999816894531,48.88999938964844,49.4900016784668,241200
2011-03-30,49.470001220703125,49.4900016784668,49.189998626708984,49.810001373291016,237000
2011-03-31,49.7599983215332,50.630001068115234,49.650001525878906,50.689998626708984,345800
2011-04-01,51.0099983215332,51.65999984741211,50.95000076293945,51.88999938964844,276700
2011-04-04,51.84000015258789,51.9900016784668,51.56999969482422,52.060001373291016,125800
2011-04-05,52.150001525878906,52.880001068115234,51.95000076293945,53.02000045776367,178900
2011-04-06,54.040000915527344,55.4900016784668,53.97999954223633,55.560001373291016,954700
2011-04-07,55.41999816894531,55.40999984741211,54.5,55.540000915527344,409800
2011-04-08,55.41999816894531,54.810001373291016,54.2400016784668,55.470001220703125,135700
2011-04-11,53.7599983215332,54.25,52.470001220703125,54.61000061035156,233400
2011-04-12,53.83000183105469,54.75,53.2599983215332,54.79999923706055,228100
2011-04-13,54.959999084472656,54.869998931884766,54.650001525878906,55.369998931884766,72000
2011-04-14,54.20000076293945,55.279998779296875,54.20000076293945,55.349998474121094,251700
2011-04-15,55.16999816894531,55.29999923706055,55.08000183105469,55.58000183105469,206200
2011-04-18,54.97999954223633,54.7400016784668,54.4900016784668,55.79999923706055,133000
2011-04-19,55.040000915527344,54.7599983215332,54.279998779296875,55.2400016784668,198100
2011-04-20,55.119998931884766,54.79999923706055,54.65999984741211,55.439998626708984,164100
2011-04-21,55.130001068115234,54.880001068115234,54.47999954223633,55.25,127100
2011-04-25,54.83000183105469,54.86000061035156,54.56999969482422,55.0099983215332,165800
2011-04-26,55.0,55.279998779296875,54.79999923706055,55.439998626708984,173400
2011-04-27,55.29999923706055,56.119998931884766,54.79999923706055,56.41999816894531,379000
2011-04-28,56.06999969482422,58.63999938964844,56.04999923706055,58.689998626708984,345500
2011-04-29,58.470001220703125,58.939998626708984,58.02000045776367,61.150001525878906,556000
2011-05-02,59.0099983215332,59.29999923706055,58.9900016784668,60.56999969482422,433300
2011-05-03,57.959999084472656,58.709999084472656,57.36000061035156,59.9900016784668,173300
2011-05-04,58.630001068115234,58.2599983215332,58.099998474121094,58.91999816894531,140000
2011-05-05,58.040000915527344,57.529998779296875,57.279998779296875,58.5099983215332,217800
2011-05-06,57.959999084472656,58.0,57.459999084472656,58.47999954223633,208000
2011-05-09,58.099998474121094,57.849998474121094,57.4900016784668,58.5,238600
2011-05-10,57.13999938964844,58.33000183105469,56.869998931884766,58.439998626708984,151300
2011-05-11,57.97999954223633,58.66999816894531,57.97999954223633,59.22999954223633,232100
2011-05-12,58.36000061035156,59.0,58.290000915527344,59.09000015258789,204400
2011-05-13,58.65999984741211,57.86000061035156,57.61000061035156,59.060001373291016,174600
2011-05-16,57.689998626708984,57.77000045776367,57.43000030517578,58.91999816894531,281000
2011-05-17,57.52000045776367,56.18000030517578,55.900001525878906,57.7400016784668,246900
2011-05-18,56.369998931884766,57.36000061035156,56.25,57.689998626708984,288900
2011-05-19,57.5,57.619998931884766,57.189998626708984,57.65999984741211,219500
2011-05-20,57.63999938964844,57.0,56.619998931884766,57.63999938964844,77100
2011-05-23,56.599998474121094,55.790000915527344,55.27000045776367,56.72999954223633,121700
2011-05-24,55.970001220703125,55.9900016784668,55.7599983215332,56.59000015258789,133000
2011-05-25,55.959999084472656,55.75,55.33000183105469,56.08000183105469,60800
2011-05-26,55.58000183105469,55.68000030517578,55.34000015258789,56.54999923706055,136100
2011-05-27,55.79999923706055,56.22999954223633,55.79999923706055,56.31999969482422,195800
2011-05-31,56.599998474121094,56.4900016784668,56.45000076293945,58.22999954223633,213100
2011-06-01,56.47999954223633,56.70000076293945,56.119998931884766,57.290000915527344,216700
2011-06-02,56.72999954223633,57.38999938964844,56.72999954223633,57.75,189200
2011-06-03,56.970001220703125,57.779998779296875,56.849998474121094,58.130001068115234,311800
2011-06-06,57.04999923706055,57.380001068115234,57.04999923706055,57.63999938964844,209500
2011-06-07,57.63999938964844,57.869998931884766,57.189998626708984,58.400001525878906,404800
2011-06-08,57.88999938964844,57.939998626708984,57.5,58.29999923706055,349600
2011-06-09,57.88999938964844,57.77000045776367,57.599998474121094,58.060001373291016,255500
2011-06-10,57.75,57.5,56.63999938964844,57.939998626708984,395400
2011-06-13,57.81999969482422,55.459999084472656,51.900001525878906,57.869998931884766,985400
2011-06-14,55.619998931884766,55.959999084472656,55.470001220703125,56.650001525878906,437300
2011-06-15,55.5,55.70000076293945,55.349998474121094,56.400001525878906,477000
2011-06-16,55.650001525878906,56.0099983215332,55.04999923706055,56.36000061035156,303800
2011-06-17,56.150001525878906,56.810001373291016,55.77000045776367,56.9900016784668,1265600
2011-06-20,56.560001373291016,56.029998779296875,55.47999954223633,56.65999984741211,486900
2011-06-21,56.15999984741211,56.20000076293945,55.93000030517578,56.81999969482422,431300
2011-06-22,56.08000183105469,57.13999938964844,56.08000183105469,58.150001525878906,658700
2011-06-23,56.97999954223633,55.52000045776367,54.97999954223633,57.04999923706055,573900
2011-06-24,55.86000061035156,54.40999984741211,53.02000045776367,55.93000030517578,6393700
2011-06-27,54.36000061035156,54.09000015258789,53.61000061035156,54.7599983215332,629600
2011-06-28,54.5099983215332,54.56999969482422,53.959999084472656,54.88999938964844,362500
2011-06-29,54.630001068115234,54.36000061035156,53.970001220703125,54.720001220703125,383000
2011-06-30,54.52000045776367,54.2599983215332,54.04999923706055,54.849998474121094,556600
2011-07-01,54.5,55.150001525878906,54.25,55.43000030517578,495500
2011-07-05,56.66999816894531,57.970001220703125,56.5,58.7599983215332,930300
2011-07-06,58.290000915527344,58.97999954223633,57.91999816894531,59.13999938964844,740200
2011-07-07,59.0,58.540000915527344,58.529998779296875,59.22999954223633,360700
2011-07-08,58.20000076293945,57.79999923706055,57.52000045776367,58.88999938964844,477800
2011-07-11,57.47999954223633,56.5099983215332,56.130001068115234,58.470001220703125,286800
2011-07-12,56.31999969482422,56.720001220703125,56.31999969482422,57.15999984741211,265300
2011-07-13,56.7599983215332,56.7599983215332,56.2400016784668,57.349998474121094,244200
2011-07-14,56.83000183105469,56.86000061035156,56.5099983215332,57.290000915527344,327500
2011-07-15,56.959999084472656,57.34000015258789,56.959999084472656,57.619998931884766,191500
2011-07-18,57.150001525878906,56.279998779296875,55.959999084472656,57.279998779296875,207700
2011-07-19,56.84000015258789,57.40999984741211,56.84000015258789,58.11000061035156,412100
